customerID,gender,SeniorCitizen,tenure,Contract,PaymentMethod,InternetService,TechSupport,OnlineSecurity,MonthlyCharges,TotalCharges,Churn
3292-PBZEJ,Male,1,11,Month-to-month,Electronic check,Fiber optic,Yes,No,111.4,1183.05,No
9851-KIELU,Male,0,10,Month-to-month,Electronic check,Fiber optic,Yes,Yes,110.1,1043.3,Yes
3992-YWPKO,Female,0,6,Month-to-month,Credit card (automatic),Fiber optic,Yes,No,109.9,669.45,Yes
5760-IFJOZ,Male,0,3,Month-to-month,Mailed check,Fiber optic,No,No,107.95,313.6,No
2081-VEYEH,Male,0,3,Month-to-month,Electronic check,Fiber optic,Yes,No,107.95,318.6,No
1400-MMYXY,Male,1,3,Month-to-month,Electronic check,Fiber optic,No,No,105.9,334.65,Yes
3389-YGYAI,Female,1,8,Month-to-month,Electronic check,Fiber optic,No,No,105.5,829.55,Yes
5052-PNLOS,Male,0,3,Month-to-month,Bank transfer (automatic),Fiber optic,No,No,105.35,323.25,Yes
6734-GMPVK,Male,0,5,Month-to-month,Electronic check,Fiber optic,No,No,105.3,550.6,No
4587-VVTOX,Female,0,6,Month-to-month,Electronic check,Fiber optic,No,No,105.3,545.2,Yes
6496-SLWHQ,Male,1,3,Month-to-month,Electronic check,Fiber optic,No,No,105.0,294.45,Yes
1875-QIVME,Female,0,2,Month-to-month,Electronic check,Fiber optic,Yes,No,104.4,242.8,Yes
5923-GXUOC,Male,0,10,Month-to-month,Electronic check,Fiber optic,No,Yes,104.4,1081.45,Yes
2369-UAPKZ,Male,0,5,Month-to-month,Mailed check,Fiber optic,No,No,104.1,541.9,Yes
5293-WXJAK,Female,1,11,Month-to-month,Bank transfer (automatic),Fiber optic,Yes,No,104.05,1133.65,Yes
7089-IVVAZ,Female,0,8,Month-to-month,Bank transfer (automatic),Fiber optic,Yes,Yes,103.35,847.3,Yes
2018-PZKMU,Male,0,9,Month-to-month,Electronic check,Fiber optic,Yes,No,103.1,970.45,No
9547-ITEFG,Male,0,9,Month-to-month,Credit card (automatic),Fiber optic,No,No,102.6,897.75,No
7181-BQYBV,Female,0,1,Month-to-month,Electronic check,Fiber optic,No,Yes,102.45,102.45,Yes
1465-VINDH,Female,0,10,Month-to-month,Credit card (automatic),Fiber optic,No,No,102.1,1068.85,Yes
6688-UZPWD,Female,0,11,Month-to-month,Electronic check,Fiber optic,No,No,102.0,1145.35,Yes
